epoch,acc,dice_coef,loss,val_acc,val_dice_coef,val_loss
0,0.88029100736,0.663645909916,-0.392321064932,0.88674214681,0.701409464677,-0.430057180425
1,0.995724522273,0.988544201404,-0.974939845928,0.927780151367,0.826479434967,-0.213977068663
2,0.999753233592,0.999333476598,-0.997727773984,0.929039001465,0.82977604866,0.131156876683
3,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
4,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
5,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
6,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
7,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
8,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
9,1.0,1.0,-0.999999940395,0.929039001465,0.82977604866,0.131156876683
